Gene_Name	HLA-A	HLA-B	HLA-C	HLA-DMA	HLA-DMB	HLA-DOA	HLA-DOB	HLA-DPA1	HLA-DPB1	HLA-DPB2	HLA-DQA1	HLA-DQA2	HLA-DQB1	HLA-DRA	HLA-DRB1	HLA-DRB5	HLA-E	HLA-F	HLA-H	HLA-J	HLA-L
CGGA_1073	314.61	192.25	128.43	47.53	32.18	8.75	0.31	128.57	60.4	0.17	1.12	5.21	1.17	256.47	34.49	1.91	167.27	23.42	1.08	0.64	0.53
CGGA_1074	376.89	474.2	441.81	130.33	91.93	37.16	1.81	580.93	140.32	0.83	123.9	1.69	40.98	804.62	58.46	5.54	306.54	88.87	0.45	0.56	0.52
CGGA_1095	554.3	768.57	622.42	55.51	28.78	5.23	0.55	106.12	46.02	0.11	50.1	0.51	30.59	179.54	100.35	83.67	221.25	45.36	1.01	0.25	0.64
CGGA_1099	891.71	760.64	166.08	113.34	115.63	16.8	1.44	464.37	201.24	1.42	7.13	12.77	3.15	684.3	89.22	8.81	286.04	135.71	39.44	0.41	0.37
CGGA_1114	1862.76	1179.51	265.71	121.89	80.56	22.09	0.99	355.92	181.68	0.32	139.73	0.81	52.36	576.71	210.18	21.99	575.04	146.42	19.73	0.47	0.84
CGGA_1116	267.59	329.44	54.45	58.33	57.95	7.44	0.11	167.89	41.26	0.19	2.41	2.85	0.78	209.82	24.16	2.38	197.1	33.2	1.96	0.29	0.3
CGGA_1118	237.47	557.83	421.18	128.98	62.36	17.02	0.71	519.35	259.78	0.19	227.61	0.04	142.64	668.76	346.58	278.08	168	51.89	2.6	1.24	0.66
CGGA_1119	45.47	237.5	203.3	14.38	6.86	0.5	0.23	30.89	4.88	0.18	14.39	0	15.08	45.1	33.16	18.97	70.91	20.86	1.55	0.06	0.51
CGGA_1197	412.12	114.35	221.56	17.5	14.01	1.83	0.15	92.97	25.97	0.09	5.88	2.77	0.03	96.07	9.56	2.1	88.85	27.44	24.97	0.45	1.03
CGGA_1246	152.6	90.72	7.25	30.68	29.27	2.59	0.44	98.05	33.17	0	19.3	0.16	33.53	128.05	90.66	63.45	111.22	20.03	8.37	0.44	0.38
CGGA_1275	234.37	526.99	51.5	49.81	31.62	5.14	0.4	193.22	88.46	0.41	0.68	2.24	0.81	275.7	62.49	3.34	172.3	101.87	6.91	0	1.31
CGGA_1450	226.42	156.06	381.07	9.05	4.79	1.39	0.1	44.41	29.84	0	0.62	0.87	0.3	44.35	8.91	1.26	75.05	25.19	15.93	0.11	0.3
CGGA_1460	461.97	852.2	597.83	39.63	24.05	5.19	0.44	100.67	51.94	0.14	0.45	0.72	1.07	198.53	39.25	2.76	301.86	56.36	8.65	0.54	0.52
CGGA_1475	145.09	276.71	192.65	57.02	28.48	9.42	0.33	166.04	26.64	0.24	0.67	2.98	0.4	270.41	44.73	11.65	128.47	14.15	0.38	0.33	0.25
CGGA_243	110.64	32.48	9.3	7.15	3.55	0.67	0	16.55	8.85	0.25	5.04	0.32	1.56	28.02	2.03	0	51.2	5	0.86	0	0.24
CGGA_247	199.96	78.45	26.98	25.65	14.68	6.7	0.96	209.47	52.66	0.2	1.3	1.18	1.12	185.9	16.16	3.41	73.53	10.28	1.28	0.15	0.69
CGGA_738	402.17	206.81	179.16	57.47	42.83	27.68	1.79	313.9	104.26	0.32	85.74	0.61	44.07	366.18	87.86	6.48	375.76	91.82	33.13	3.07	0.65
CGGA_759	272.79	210.02	58.52	90.82	64.38	33.03	1.02	442.67	162.56	0.22	2.75	4.41	0.83	454.11	64.57	19.8	204.67	33.95	1.21	0.25	0.91
CGGA_D30	90.69	586.08	309.02	129.01	86.58	9.36	0.97	277.88	70.67	0.53	79.78	2.27	44.93	386.54	47.5	13.97	284.51	52.79	3.41	0.33	0.52
CGGA_1002	170.71	135.14	137.34	20.52	15.15	1.67	0.83	64.46	3.55	0.16	7.82	0	11.41	48.8	110.63	59.49	119.79	31.6	0.61	0.16	0.95
CGGA_1003	36.74	17.11	80.44	1.34	1.82	0.12	0.27	6.98	1.74	0	0.11	0	2.63	3.57	3.35	4.27	43.83	30.52	0.46	0.21	0.49
CGGA_1010	34.51	6.21	1.34	1.2	2.47	2.17	0	12.07	4.11	0.08	3.62	0	0.44	7.56	6.51	5.17	12.43	3.55	0.09	0	0.15
CGGA_1012	281.29	504.15	27.21	29.03	33.39	5.76	0.73	143.54	68.62	0.26	44.35	0.05	51.44	117.14	159.01	102.06	154.94	33.08	8.76	0.1	0.54
CGGA_1014	522.9	374.47	39.81	24.81	19.25	2.58	1.22	129.25	9.36	0.37	0.15	0.66	0.02	75.51	12.12	0.1	183.17	148.34	1.69	0.5	1.24
CGGA_1017	65.72	50.16	72.29	4.93	9.4	1.65	0.09	34.35	9.35	0.24	0.03	0.07	0.39	32.16	1.67	0.15	83.43	12.02	0.36	0.09	2.08
CGGA_1018	176.19	83.23	7.4	3.53	4.17	0.38	0.18	11.61	5.13	0.07	0.7	0	3.88	13.83	0.87	0.07	49.68	29.84	0.69	0.23	0.76
CGGA_103	68.29	127.78	8.1	6.33	8.91	2.82	0	31.44	11.04	0	4.88	0.03	2.04	26.93	35.92	19.79	85.86	14.92	6.65	0.06	0.83
CGGA_1030	15.48	56.27	78.7	2.51	2.53	0.54	4.01	17.75	6.03	0.5	2.44	0.21	1.19	10.68	1.44	0.31	44.5	21.88	0.47	0.17	1.2
