id	HLA-A	HLA-B	HLA-C	HLA-DMA	HLA-DMB	HLA-DOA	HLA-DOB	HLA-DPA1	HLA-DPB1	HLA-DPB2	HLA-DQA1	HLA-DQA2	HLA-DQB1	HLA-DQB2	HLA-DRA	HLA-DRB1	HLA-DRB5	HLA-DRB6	HLA-E	HLA-F	HLA-G	HLA-H	HLA-J	HLA-L
TCGA.DU.6404.02B.11R.A36H.07	102.0670014	48.27191863	31.53182951	1.649487236	0.543660296	0.374405748	0.052725553	2.19004593	5.627698729	0.112250506	0.461983525	0.321404455	0.532702979	0.257630711	31.09849243	13.57273267	4.716788935	1.354455577	55.97947307	1.778635377	0.240788998	3.992453296	0.519597312	0.738512122
TCGA.RY.A83X.01A.11R.A36H.07	79.78955113	97.24804327	96.38450631	3.250658152	2.043098651	0.445983781	0.251599225	1.789208407	1.940601897	0.030224441	0.107045806	0	0.246528886	0.015897142	9.482918484	8.764469914	3.914784789	0.194506209	94.58336785	2.156966122	0.137150046	6.486120997	0.542584831	0.565141235
TCGA.HT.7856.01A.11R.2403.07	65.63000836	54.01780557	67.0031392	4.699306993	1.848524215	0.868292275	0.186744336	3.218596464	6.529170797	0.320948153	0.314562976	0.200350695	1.004687575	0.670673683	22.26035672	16.88024445	2.445319264	1.046669613	86.36603282	2.218312831	0.354252841	5.635112578	0.195356976	0.494142136
TCGA.RY.A83Y.01A.11R.A36H.07	282.9331976	282.9966344	271.3036403	16.84420664	5.688574737	3.070324314	0.066165522	25.66931726	45.97639451	0.030733885	6.864655266	0	14.51962989	0.072742923	170.7267317	148.239144	16.4694597	7.676517907	139.0762537	8.386344326	0.390492925	11.93461816	1.986229049	0.531492436
TCGA.QH.A870.01A.11R.A36H.07	171.2367122	108.0469416	98.29240376	6.654317615	2.732037727	1.97992107	1.38864123	6.701216018	10.75109509	0	0.727341784	0.679856499	1.077097284	0.581021345	64.02623563	32.18731647	8.013419674	1.731278612	115.1747214	3.336043885	1.405851869	14.94020415	1.504407059	0.431778072
TCGA.DU.7011.01A.11R.2027.07	203.9668679	207.5340701	118.0162208	24.97626997	12.8262614	12.2100062	0.58701149	46.04895345	52.60458832	0.671928991	11.4399846	1.74825756	22.87262363	0.107560882	383.8516088	188.4651192	88.87331327	6.321687495	197.660871	5.084805002	1.608471415	15.779989	0.419560791	0.89438402
TCGA.DU.5870.02A.12R.A36H.07	219.9481322	114.5143517	97.20984273	6.203566158	1.466850011	0.822916468	0.262501415	7.84551964	17.12551329	0.164139106	2.304561926	0.381575724	5.55035755	0.064749154	77.3505536	62.8504604	10.88305545	3.253781024	63.43927177	4.4067089	0.489451349	6.77779832	2.387895366	0.76329902
TCGA.DU.6394.01A.11R.1708.07	298.4240264	189.4464567	161.5799209	6.528834405	1.90677184	2.592005842	0.162537601	11.63170434	12.77737521	0.131302114	0.873831018	3.541021582	1.044205231	0.887001461	100.1896679	32.6342141	19.67447552	5.168906756	102.3847544	5.27083337	1.340577456	17.71859734	1.189272515	0.837185142
TCGA.DB.5274.01A.01R.1470.07	450.0348195	346.6828452	295.5961953	22.33834693	7.411529603	2.3172924	0.151628945	22.58744092	36.85902685	1.002296483	3.932552775	0	18.74141081	0.224406697	142.6240807	168.667004	74.45631019	6.32487447	146.3667008	9.772537326	0.479398603	5.299180461	0.384618717	0.185022696
TCGA.WY.A85C.01A.11R.A36H.07	91.52780453	88.60020842	80.72106103	8.737631823	3.308491306	2.284964604	0.291337965	7.227012077	12.16860705	0.163701393	1.691447142	3.185230949	4.728557902	0.482171098	90.79970584	37.13243043	12.5694953	5.175235583	123.0814371	2.618015825	0.455603044	6.930423926	0.609121461	0.282301887
TCGA.VM.A8CA.01A.11R.A36H.07	199.4090183	214.9946266	177.12365	17.34027039	5.935358444	3.390758317	0.11944049	19.50876711	42.90514658	0.582541129	2.495683775	2.795847939	8.964607915	0.38299877	173.2019607	102.2978302	71.22589044	4.769783001	208.6350424	8.106075593	1.384642502	18.79034299	1.561863493	0.991688026
TCGA.FG.A713.01A.11R.A32Q.07	88.01050957	64.45612413	69.51868714	3.104201265	1.280735166	1.024672942	0.249035839	4.758732808	7.026773759	0.545017328	0.500983747	0.081742381	1.705617366	0.05265232	32.57590814	26.59919299	13.89820669	0.389214209	92.01530071	2.217387826	0.272549673	4.367932704	0.119804973	0.798498018
TCGA.E1.5304.01A.01R.1470.07	50.92693906	88.89671928	45.24767147	4.564622954	1.564077088	1.600198681	0.106169258	9.553010006	12.37508675	0	0.900919241	1.565014911	1.499288469	1.016908074	62.66726401	26.48686129	7.258576139	2.515482069	31.13401724	0.553435209	0.396701736	11.33899297	0.252422224	0.29318179
TCGA.HT.7475.01A.11R.2027.07	97.39808351	66.91247684	93.17347044	5.833360403	1.57155837	0.840428993	0.550905534	2.914689772	5.506553178	0.131710981	0.375936806	0.118525067	1.375122805	0.103913989	27.50642723	22.26735168	11.33729897	0.953563665	69.78373503	2.485668843	0.025614323	2.45842186	0.184243373	0.246092919
TCGA.DU.A7TB.01A.11R.A33Z.07	124.1875569	120.4595754	49.76077382	8.321530934	3.225068281	1.928915927	0.201798912	3.86161949	15.19651806	0.281206784	1.398659026	0.078728059	3.984909622	0.199673456	92.66935232	37.45973399	11.61726228	1.266773648	56.96099413	3.481731164	0.638018796	12.98614298	0.4589258	0.463144083
TCGA.FG.A4MU.01B.11R.A28M.07	550.3836693	510.6112868	425.3037514	32.38354053	14.29584243	9.887206222	0.408553781	40.24507711	81.94931486	0.961031108	12.95065869	1.507049015	34.18886971	0.153561508	610.2091352	287.0480584	52.04281782	15.07499778	282.053481	10.95125736	2.395729379	58.81798079	3.037515239	1.343558592
TCGA.S9.A7IX.01A.12R.A34F.07	218.8547473	244.5099334	148.1780509	26.92324328	12.77039877	12.72495937	0.338612257	46.53930553	88.36934498	1.256365033	13.92273708	5.125040987	32.54223713	4.403718621	530.0829453	246.0599713	47.31349234	14.22239992	166.4214214	6.152809652	1.148910363	16.01695657	0.882755291	0.886409342
TCGA.E1.5303.01A.01R.1470.07	140.6524599	118.9822297	129.7348396	18.89335421	13.86145306	3.929807269	0.126072907	22.41996185	28.12884153	0.02252341	1.162750295	0.035469936	8.697049048	0.470903634	195.4328102	96.5466646	58.98988244	1.467588684	207.2547375	3.220297724	0.919844297	7.463962034	0.650615016	0.291310948
TCGA.HT.7468.01A.11R.2027.07	144.5049718	111.5317103	107.7943727	4.631410794	1.817803784	1.464474734	0.120696814	6.465983948	10.54717464	0.065407615	1.351074829	0.971181688	2.35351568	0.324365744	48.06291722	30.15285327	15.48425176	0.496088786	108.5769553	2.578946043	0.542722615	7.311466472	0.283635051	0.298734664
TCGA.HT.7477.01B.11R.A28M.07	174.3544092	159.3612795	135.6552816	10.69160138	4.18500054	4.245759487	0.155564178	19.29268247	24.71651514	0.096346081	2.664921186	5.841455285	4.703354754	1.292215678	146.8223945	66.7920682	21.85373798	6.074307952	115.3562149	3.718932087	0.961821339	11.41032963	2.193435864	0.504044891
TCGA.TQ.A7RP.01A.21R.A34F.07	108.0312693	100.6201198	85.33574207	11.53909104	4.156109632	5.446256151	0.187835909	8.273299156	36.77394804	0.350895854	2.89370414	2.439369633	4.304008934	0.778147424	169.2361221	78.77847564	26.86739256	3.982283878	183.1371925	3.676397113	0.731582164	9.691343379	0.594325573	0.308714619
TCGA.P5.A72U.01A.31R.A32Q.07	302.2645833	317.5226976	352.2982644	24.95717794	6.776318261	5.986709541	0.725081555	26.04603015	66.6118993	0.132314436	9.63814907	2.752998999	16.6948127	5.058174237	316.1713587	261.9427337	141.5630813	6.792612749	184.5649921	11.58201485	0.218329394	36.94619416	1.707852961	0.961412794
TCGA.P5.A731.01A.11R.A32Q.07	253.6972166	279.7401311	235.2800166	10.44777116	3.814300133	3.099326547	0.401946557	22.17518107	24.05547173	0.175035165	2.312576625	1.972399757	7.100393308	0.165713765	136.0169093	77.65977373	48.20227649	4.308557903	154.4592664	8.733214671	1.22845629	11.27720478	0.868391515	0.525688415
TCGA.E1.A7YM.01A.11R.A34F.07	103.9797266	82.12867196	99.33107272	7.194845999	2.646979624	2.495017505	0.915526098	11.37461497	28.24686803	0.013630188	1.448219796	0.186028816	4.349208509	0.172057603	72.8874315	29.25055116	31.950892	0.032893365	135.3067639	3.169285589	0.606129754	9.352099946	0.587249235	0.507077665
TCGA.DB.A64X.01A.11R.A29R.07	170.8631543	136.0599384	132.6488807	11.63155966	3.31200084	1.722268926	0.290540186	11.24350893	23.48068545	0.269911833	1.998134662	0.765104409	3.764675651	0.734671262	93.8449705	70.40890274	6.992001774	3.647677263	116.7906234	4.192274074	0.63688782	8.983926711	0.832530991	0.353018201
TCGA.HT.8110.01A.11R.2404.07	320.2827888	409.2769686	330.6936625	57.73122606	27.76178263	33.97223679	1.211181419	140.0410326	160.9155487	0.796318386	28.34013738	8.903174514	34.54801364	9.521796736	1223.408757	518.4095507	121.9215815	26.65469547	390.7954859	16.04764924	4.07336585	31.99163259	4.556973074	1.608097807
