Tumor_Sample_Barcode	C>A	C>G	C>T	T>C	T>A	T>G
TCGA.DU.7301	2	4	18	6	1	1
TCGA.DU.7302	1	1	21	3	2	2
TCGA.DU.7304	0	3	20	5	0	4
TCGA.DU.7306	5	17	22	17	1	3
TCGA.DU.7309	3	8	16	13	2	0
TCGA.DU.8158	5	5	21	4	2	1
TCGA.DU.8161	5	11	26	6	0	1
TCGA.DU.8162	3	0	21	2	2	1
TCGA.DU.8163	1	5	13	3	0	1
TCGA.DU.8164	7	2	22	3	2	2
TCGA.DU.8165	21	8	29	14	6	4
TCGA.DU.8166	6	3	12	7	2	1
TCGA.DU.8167	3	6	39	17	1	1
TCGA.DU.8168	8	2	30	11	2	3
TCGA.DU.A5TP	5	1	15	11	3	1
TCGA.DU.A5TR	4	8	20	11	1	1
TCGA.DU.A5TS	5	4	24	10	0	0
TCGA.DU.A5TT	11	5	36	10	3	0
TCGA.DU.A5TU	6	6	24	11	0	2
TCGA.DU.A5TW	7	3	37	6	0	1
TCGA.DU.A5TY	8	3	38	4	1	0
TCGA.DU.A6S2	0	2	13	2	1	1
TCGA.DU.A6S3	1	0	21	4	0	2
TCGA.DU.A6S6	1	1	7	1	3	1
TCGA.DU.A6S7	5	1	14	9	0	1
TCGA.DU.A6S8	2	4	32	16	1	1
TCGA.DU.A76K	5	5	36	9	3	2
TCGA.DU.A76L	2	2	31	5	0	4
TCGA.DU.A76R	2	3	36	4	0	2
TCGA.DU.A7T6	8	49	54	11	2	3
TCGA.DU.A7T8	2	1	8	7	0	2
TCGA.DU.A7TA	2	8	6	8	2	2
TCGA.DU.A7TB	6	3	25	5	1	0
TCGA.DU.A7TC	2	1	13	7	3	1
TCGA.DU.A7TD	7	1	30	6	4	1
TCGA.DU.A7TG	0	0	5	6	2	0
TCGA.DU.A7TJ	8	8	32	7	1	1
TCGA.E1.5302	2	2	24	6	2	3
TCGA.E1.5303	0	6	14	5	0	3
TCGA.E1.5304	7	3	14	8	1	2
TCGA.E1.5305	0	0	9	11	1	2
TCGA.E1.5307	3	9	41	13	2	5
TCGA.E1.5311	1	2	11	5	0	2
TCGA.E1.5318	4	4	27	7	2	3
TCGA.E1.5319	1	1	22	7	1	2
TCGA.E1.5322	2	1	15	7	2	0
TCGA.E1.A7YD	7	5	37	8	8	4
TCGA.E1.A7YE	3	38	21	13	3	7
TCGA.E1.A7YH	2	0	19	7	1	0
TCGA.E1.A7YI	3	3	27	6	5	2
TCGA.E1.A7YJ	3	2	32	4	4	2
TCGA.E1.A7YK	6	11	27	16	1	5
TCGA.E1.A7YL	9	10	35	3	1	2
TCGA.E1.A7YM	2	2	40	9	1	1
TCGA.E1.A7YN	8	3	53	2	6	2
TCGA.E1.A7YO	2	4	21	5	1	3
TCGA.E1.A7YQ	6	7	15	6	1	0
TCGA.E1.A7YS	6	3	45	12	3	2
TCGA.E1.A7YU	3	2	16	5	2	2
TCGA.E1.A7YV	12	5	15	10	6	2
TCGA.E1.A7YW	0	1	14	3	2	3
TCGA.E1.A7YY	1	1	6	0	0	1
TCGA.E1.A7Z2	4	3	31	1	1	2
TCGA.E1.A7Z3	1	3	9	9	1	2
TCGA.E1.A7Z4	1	2	10	6	0	1
TCGA.E1.A7Z6	2	6	11	6	1	1
TCGA.EZ.7264	2	4	16	6	0	1
TCGA.F6.A8O3	5	1	12	7	1	1
TCGA.F6.A8O4	2	0	17	8	0	1
TCGA.FG.5962	1	2	21	10	3	4
TCGA.FG.5963	5	3	14	2	2	1
TCGA.FG.5964	1	3	16	8	2	0
TCGA.FG.5965	2	8	24	9	6	3
TCGA.FG.6688	6	7	45	7	6	2
TCGA.FG.6689	0	4	13	3	1	0
TCGA.FG.6690	1	1	23	7	5	1
TCGA.FG.6691	1	1	9	3	0	1
TCGA.FG.6692	5	1	75	9	6	1
TCGA.FG.7634	1	2	14	1	1	0
TCGA.FG.7636	3	2	26	10	2	0
TCGA.FG.7637	5	3	17	4	2	4
TCGA.FG.7638	3	1	16	1	0	1
TCGA.FG.7641	1	2	19	4	3	1
TCGA.FG.7643	6	2	48	4	2	1
TCGA.FG.8182	3	0	16	9	4	1
TCGA.FG.8185	2	19	15	2	2	2
TCGA.FG.8186	1	0	25	4	2	0
TCGA.FG.8187	1	1	13	2	1	0
TCGA.FG.8188	2	3	15	11	1	1
TCGA.FG.8189	1	1	1	0	1	1
TCGA.FG.8191	2	5	13	5	1	1
TCGA.FG.A4MT	1	0	8	5	1	0
TCGA.FG.A4MU	10	1	54	8	3	2
TCGA.FG.A4MW	6	3	73	5	1	2
TCGA.FG.A4MX	5	2	11	7	0	1
TCGA.FG.A4MY	4	4	12	11	1	2
TCGA.FG.A60J	4	3	19	9	5	4
TCGA.FG.A60K	1	5	8	3	2	2
TCGA.FG.A60L	2	4	17	4	0	0
TCGA.FG.A6IZ	2	4	45	9	2	2
TCGA.FG.A6J1	1	2	19	8	1	0
TCGA.FG.A6J3	20	7	42	11	6	1
TCGA.FG.A70Y	1	1	12	3	1	3
TCGA.FG.A70Z	6	7	55	5	6	2
TCGA.FG.A710	7	2	21	13	0	3
TCGA.FG.A711	6	3	25	9	6	0
TCGA.FG.A713	5	6	16	6	1	1
TCGA.FG.A87N	1	1	17	9	3	0
TCGA.FG.A87Q	6	7	50	8	1	3
TCGA.FN.7833	0	1	9	4	1	1
TCGA.HT.7467	0	1	23	6	1	1
TCGA.HT.7468	1	1	10	2	0	0
TCGA.HT.7469	2	1	32	3	1	3
TCGA.HT.7470	6	2	22	10	1	4
TCGA.HT.7471	2	1	11	3	1	1
TCGA.HT.7472	1	3	11	6	0	0
TCGA.HT.7473	5	3	11	2	4	0
TCGA.HT.7474	3	2	10	7	0	1
TCGA.HT.7475	4	2	37	13	2	2
TCGA.HT.7476	1	5	8	7	3	0
TCGA.HT.7477	7	4	28	13	3	3
TCGA.HT.7478	3	9	14	6	2	0
TCGA.HT.7479	6	3	13	13	1	1
TCGA.HT.7480	6	1	24	1	0	2
TCGA.HT.7481	5	3	11	8	1	2
TCGA.HT.7483	1	4	6	2	0	1
TCGA.HT.7485	0	1	10	5	1	0
TCGA.HT.7601	1	4	11	4	4	1
TCGA.HT.7602	0	2	10	0	0	1
TCGA.HT.7603	2	3	14	9	0	1
TCGA.HT.7604	1	7	26	12	2	1
TCGA.HT.7605	4	1	20	5	1	1
TCGA.HT.7606	3	0	19	7	0	5
TCGA.HT.7607	2	3	22	2	0	1
TCGA.HT.7608	1	3	16	3	0	0
TCGA.HT.7609	3	1	16	9	1	1
TCGA.HT.7610	0	1	10	2	1	3
TCGA.HT.7611	4	2	16	8	3	0
TCGA.HT.7616	5	5	25	7	3	1
TCGA.HT.7620	2	1	13	2	1	1
TCGA.HT.7676	1	2	12	3	0	0
TCGA.HT.7677	4	4	24	6	3	1
TCGA.HT.7680	0	0	3	0	0	0
TCGA.HT.7681	2	0	13	3	0	1
TCGA.HT.7684	1	4	18	10	0	2
TCGA.HT.7686	4	1	7	6	2	1
TCGA.HT.7687	3	4	24	12	3	0
TCGA.HT.7688	3	15	30	22	1	3
TCGA.HT.7689	3	3	35	4	3	2
TCGA.HT.7690	1	2	14	6	0	2
TCGA.HT.7691	2	0	3	2	0	0
TCGA.HT.7692	2	1	16	8	1	0
TCGA.HT.7693	2	7	21	8	2	1
TCGA.HT.7694	2	2	20	5	0	2
TCGA.HT.7695	0	3	20	5	1	0
TCGA.HT.7854	3	2	19	2	3	0
TCGA.HT.7855	1	5	17	10	2	1
TCGA.HT.7856	15	10	20	8	13	4
TCGA.HT.7857	2	1	15	2	2	0
TCGA.HT.7858	2	4	15	0	0	1
TCGA.HT.7860	10	4	62	18	5	5
TCGA.HT.7873	2	2	19	3	1	2
TCGA.HT.7874	2	4	12	6	2	2
TCGA.HT.7875	4	1	22	4	4	0
TCGA.HT.7877	2	1	16	2	0	0
TCGA.HT.7879	0	1	8	5	1	1
TCGA.HT.7880	1	1	2	3	2	0
TCGA.HT.7881	0	1	9	2	1	0
TCGA.HT.7882	5	4	31	8	4	1
TCGA.HT.7884	0	3	22	11	2	2
TCGA.HT.7902	7	2	11	6	1	1
TCGA.HT.8010	0	1	9	3	0	1
TCGA.HT.8011	8	4	35	4	5	0
TCGA.HT.8012	1	1	13	4	1	0
TCGA.HT.8013	3	1	16	6	1	0
TCGA.HT.8015	0	0	1	0	2	0
TCGA.HT.8018	3	3	11	3	0	0
TCGA.HT.8104	7	5	50	9	3	1
TCGA.HT.8105	4	3	23	10	1	0
TCGA.HT.8107	0	0	1	0	0	0
TCGA.HT.8108	3	2	13	3	0	0
TCGA.HT.8109	5	3	26	7	3	2
TCGA.HT.8110	24	15	54	9	22	19
TCGA.HT.8111	1	1	9	3	0	1
TCGA.HT.8113	1	3	16	2	2	2
TCGA.HT.8114	3	3	10	4	0	1
TCGA.HT.8558	0	1	0	1	0	0
TCGA.HT.8563	1	8	17	5	2	3
TCGA.HT.8564	17	5	544	14	4	2
TCGA.HT.A4DS	6	2	30	4	0	1
TCGA.HT.A4DV	1	3	10	2	2	4
TCGA.HT.A5R5	2	5	13	4	2	0
TCGA.HT.A5R7	3	3	16	4	2	3
TCGA.HT.A5R9	2	0	32	5	1	1
TCGA.HT.A5RA	3	3	52	5	0	1
TCGA.HT.A5RB	1	1	10	9	0	1
TCGA.HT.A5RC	6	3	47	2	2	2
TCGA.HT.A614	5	2	24	9	2	1
TCGA.HT.A615	2	5	24	7	0	1
TCGA.HT.A616	2	4	14	3	2	3
TCGA.HT.A617	2	1	21	3	2	0
TCGA.HT.A618	7	0	14	3	2	1
TCGA.HT.A619	3	8	35	10	1	3
TCGA.HT.A61A	3	1	1	2	0	0
TCGA.HT.A61B	5	4	16	12	1	1
TCGA.HT.A61C	4	5	29	4	5	2
TCGA.HT.A74H	6	1	41	5	3	4
TCGA.HT.A74J	0	1	11	9	1	3
TCGA.HT.A74K	3	2	17	7	2	1
TCGA.HT.A74L	2	1	10	3	1	1
TCGA.HT.A74O	4	6	9	1	3	0
TCGA.HW.7486	1	2	9	4	0	0
TCGA.HW.7487	2	1	16	3	0	0
TCGA.HW.7489	3	0	14	4	1	2
TCGA.HW.7490	2	3	24	7	3	0
TCGA.HW.7491	1	1	13	3	0	1
TCGA.HW.7495	1	1	13	2	2	0
TCGA.HW.8319	1	7	23	4	0	2
TCGA.HW.8320	1	1	22	4	3	2
TCGA.HW.8321	3	6	19	9	3	2
TCGA.HW.8322	2	1	13	6	1	0
TCGA.HW.A5KJ	2	0	16	5	4	2
TCGA.HW.A5KK	4	3	26	11	3	2
TCGA.HW.A5KL	1	3	13	3	0	1
TCGA.HW.A5KM	0	4	8	5	1	2
TCGA.IK.7675	7	3	21	11	2	3
TCGA.IK.8125	3	7	40	5	2	1
TCGA.KT.A74X	1	0	7	4	1	0
TCGA.KT.A7W1	7	2	37	6	3	0
TCGA.P5.A5ET	1	1	13	1	2	3
TCGA.P5.A5EU	3	3	15	7	2	2
TCGA.P5.A5EV	5	63	17	11	4	1
TCGA.P5.A5EW	4	0	10	4	2	0
TCGA.P5.A5EX	2	1	14	8	2	1
TCGA.P5.A5EY	1	0	0	0	0	0
TCGA.P5.A5EZ	5	8	27	6	2	2
TCGA.P5.A5F0	2	5	15	3	2	2
TCGA.P5.A5F1	1	1	17	3	0	2
TCGA.P5.A5F2	3	4	23	3	2	0
TCGA.P5.A5F4	4	6	18	11	0	2
TCGA.P5.A5F6	0	1	2	1	0	0
TCGA.P5.A72U	11	1	46	4	2	2
TCGA.P5.A72W	3	7	19	8	4	3
TCGA.P5.A72X	0	1	5	2	1	0
TCGA.P5.A72Z	2	0	22	6	1	1
TCGA.P5.A730	3	1	13	3	2	1
TCGA.P5.A731	3	3	14	4	0	0
TCGA.P5.A733	1	4	23	8	0	4
TCGA.P5.A735	0	3	13	4	3	0
TCGA.P5.A736	4	2	17	5	3	2
TCGA.P5.A737	0	4	15	4	2	2
TCGA.P5.A77W	5	0	9	4	2	3
TCGA.P5.A77X	3	0	16	7	1	2
TCGA.P5.A780	3	4	31	17	1	2
TCGA.P5.A781	1	3	12	3	2	0
TCGA.QH.A65R	3	1	19	3	3	2
TCGA.QH.A65S	1	2	6	8	1	2
TCGA.QH.A65V	4	1	14	5	1	2
TCGA.QH.A65X	3	1	15	4	0	0
TCGA.QH.A65Z	3	4	14	5	1	1
TCGA.QH.A6CS	4	0	12	7	1	0
TCGA.QH.A6CU	2	0	11	0	2	0
